id,flight_date,flight_number,airline_code,airline_name,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,status
39,2025-06-06,8783,BA,British Airways,DEL,BOM,07:00:00,06:59:00,09:15:00,08:36:00,0,0,on_time
40,2025-06-06,9253,JL,Japan Airlines,DEL,BOM,07:00:00,06:59:00,09:15:00,08:36:00,0,0,on_time
41,2025-06-06,5301,QF,Qantas,DEL,BOM,07:00:00,06:59:00,09:15:00,08:36:00,0,0,on_time
42,2025-06-06,8743,VS,Virgin Atlantic,DEL,BOM,07:00:00,06:59:00,09:15:00,08:36:00,0,0,on_time
43,2025-06-06,2963,AI,Air India,DEL,BOM,09:00:00,09:27:00,11:25:00,11:30:00,28,5,on_time
44,2025-06-06,9076,JL,Japan Airlines,DEL,BOM,09:00:00,09:13:00,11:35:00,11:04:00,14,14,on_time
45,2025-06-06,5283,QF,Qantas,DEL,BOM,09:00:00,09:13:00,11:35:00,11:04:00,14,14,on_time
46,2025-06-06,4734,TK,Turkish Airlines,DEL,BOM,09:00:00,09:13:00,11:35:00,11:04:00,14,14,on_time
47,2025-06-06,8738,VS,Virgin Atlantic,DEL,BOM,09:00:00,09:13:00,11:35:00,11:04:00,14,14,on_time
48,2025-06-06,6107,6E,IndiGo,DEL,BOM,09:00:00,09:13:00,11:35:00,11:04:00,14,14,on_time
49,2025-06-06,9255,JL,Japan Airlines,DEL,BOM,08:00:00,08:11:00,10:25:00,09:51:00,11,11,on_time
50,2025-06-06,5271,QF,Qantas,DEL,BOM,08:00:00,08:11:00,10:25:00,09:51:00,11,11,on_time
51,2025-06-06,4730,TK,Turkish Airlines,DEL,BOM,08:00:00,08:11:00,10:25:00,09:51:00,11,11,on_time
52,2025-06-06,8728,VS,Virgin Atlantic,DEL,BOM,08:00:00,08:11:00,10:25:00,09:51:00,11,11,on_time
53,2025-06-06,1411,QP,Akasa Air,DEL,BOM,10:00:00,10:21:00,12:20:00,12:21:00,21,1,on_time
54,2025-06-06,6328,6E,IndiGo,DEL,BOM,10:00:00,10:43:00,12:20:00,12:38:00,44,18,delayed
55,2025-06-06,2995,AI,Air India,DEL,BOM,10:15:00,10:38:00,12:40:00,12:36:00,24,24,delayed
56,2025-06-06,2425,AI,Air India,DEL,BOM,10:55:00,11:02:00,13:20:00,12:52:00,8,8,on_time
57,2025-06-06,6047,6E,IndiGo,DEL,BOM,11:00:00,11:14:00,13:20:00,13:03:00,15,15,on_time
58,2025-06-06,9259,JL,Japan Airlines,DEL,BOM,10:00:00,10:43:00,12:20:00,12:38:00,44,18,delayed
59,2025-06-06,5287,QF,Qantas,DEL,BOM,10:00:00,10:43:00,12:20:00,12:38:00,44,18,delayed
60,2025-06-06,8742,VS,Virgin Atlantic,DEL,BOM,10:00:00,10:43:00,12:20:00,12:38:00,44,18,delayed
61,2025-06-06,2945,AI,Air India,DEL,BOM,11:40:00,12:06:00,13:55:00,13:51:00,27,27,delayed
62,2025-06-06,9263,JL,Japan Airlines,DEL,BOM,11:55:00,12:06:00,14:15:00,13:43:00,11,11,on_time
63,2025-06-06,5303,QF,Qantas,DEL,BOM,11:55:00,12:06:00,14:15:00,13:43:00,11,11,on_time
64,2025-06-06,8732,VS,Virgin Atlantic,DEL,BOM,11:55:00,12:06:00,14:15:00,13:43:00,11,11,on_time
65,2025-06-06,6051,6E,IndiGo,DEL,BOM,11:55:00,12:06:00,14:15:00,13:43:00,11,11,on_time
66,2025-06-06,2993,AI,Air India,DEL,BOM,12:35:00,13:02:00,15:00:00,14:47:00,28,28,delayed
67,2025-06-06,6676,6E,IndiGo,DEL,BOM,13:00:00,13:21:00,15:20:00,15:13:00,22,22,delayed
68,2025-06-06,2951,AI,Air India,DEL,BOM,13:15:00,13:52:00,15:35:00,15:37:00,37,2,on_time
69,2025-06-06,6022,6E,IndiGo,DEL,BOM,14:15:00,14:32:00,16:35:00,16:11:00,17,17,delayed
70,2025-06-06,2441,AI,Air India,DEL,BOM,14:20:00,14:31:00,16:40:00,16:10:00,11,11,on_time
71,2025-06-06,2420,AI,Air India,DEL,BOM,14:55:00,15:10:00,17:20:00,16:51:00,15,15,on_time
72,2025-06-06,2933,AI,Air India,DEL,BOM,15:30:00,15:51:00,17:45:00,17:42:00,22,22,delayed
73,2025-06-06,6318,6E,IndiGo,DEL,BOM,15:30:00,15:39:00,17:50:00,17:17:00,9,9,on_time
74,2025-06-06,9565,MS,EgyptAir,DEL,BOM,12:35:00,13:02:00,15:00:00,14:47:00,28,28,delayed
75,2025-06-06,8780,BA,British Airways,DEL,BOM,13:00:00,13:21:00,15:20:00,15:13:00,22,22,delayed
76,2025-06-06,9265,JL,Japan Airlines,DEL,BOM,13:00:00,13:21:00,15:20:00,15:13:00,22,22,delayed
77,2025-06-06,5273,QF,Qantas,DEL,BOM,13:00:00,13:21:00,15:20:00,15:13:00,22,22,delayed
78,2025-06-06,8730,VS,Virgin Atlantic,DEL,BOM,13:00:00,13:21:00,15:20:00,15:13:00,22,22,delayed
79,2025-06-06,9261,JL,Japan Airlines,DEL,BOM,11:00:00,11:14:00,13:20:00,13:03:00,15,15,on_time
80,2025-06-06,5291,QF,Qantas,DEL,BOM,11:00:00,11:14:00,13:20:00,13:03:00,15,15,on_time
81,2025-06-06,8737,VS,Virgin Atlantic,DEL,BOM,11:00:00,11:14:00,13:20:00,13:03:00,15,15,on_time
82,2025-06-06,9267,JL,Japan Airlines,DEL,BOM,14:15:00,14:32:00,16:35:00,16:11:00,17,17,delayed
83,2025-06-06,5281,QF,Qantas,DEL,BOM,14:15:00,14:32:00,16:35:00,16:11:00,17,17,delayed
84,2025-06-06,8736,VS,Virgin Atlantic,DEL,BOM,14:15:00,14:32:00,16:35:00,16:11:00,17,17,delayed
85,2025-06-06,1128,QP,Akasa Air,DEL,BOM,16:00:00,16:46:00,18:20:00,18:34:00,46,14,on_time
86,2025-06-06,2941,AI,Air India,DEL,BOM,16:30:00,17:18:00,19:00:00,19:03:00,48,3,on_time
87,2025-06-06,864,6E,IndiGo,DEL,BOM,17:00:00,17:11:00,19:20:00,18:50:00,12,12,on_time
88,2025-06-06,441,AI,Air India,DEL,BOM,17:15:00,18:31:00,20:25:00,20:08:00,77,77,delayed
89,2025-06-06,2955,AI,Air India,DEL,BOM,17:55:00,18:44:00,20:15:00,20:26:00,50,11,on_time
90,2025-06-06,9078,JL,Japan Airlines,DEL,BOM,18:00:00,18:27:00,20:20:00,20:16:00,27,27,delayed
91,2025-06-06,5275,QF,Qantas,DEL,BOM,18:00:00,18:27:00,20:20:00,20:16:00,27,27,delayed
92,2025-06-06,8731,VS,Virgin Atlantic,DEL,BOM,18:00:00,18:27:00,20:20:00,20:16:00,27,27,delayed
93,2025-06-06,6706,6E,IndiGo,DEL,BOM,18:00:00,18:27:00,20:20:00,20:16:00,27,27,delayed
94,2025-06-06,354,6E,IndiGo,DEL,BOM,19:00:00,19:51:00,21:20:00,21:34:00,51,14,on_time
95,2025-06-06,2985,AI,Air India,DEL,BOM,19:30:00,20:08:00,22:00:00,21:49:00,38,38,delayed
96,2025-06-06,9889,LX,SWISS,DEL,BOM,17:55:00,18:44:00,20:15:00,20:26:00,50,11,on_time
97,2025-06-06,322,QO,Quikjet Cargo Airlines,DEL,BLR,03:15:00,03:50:00,06:00:00,06:07:00,36,7,on_time
98,2025-06-06,5282,LH,Lufthansa,DEL,BLR,03:30:00,03:46:00,06:15:00,06:00:00,16,16,delayed
99,2025-06-06,2653,AI,Air India,DEL,BLR,03:30:00,03:46:00,06:15:00,06:00:00,16,16,delayed
100,2025-06-06,403,BZ,Blue Dart Aviation,DEL,BLR,03:50:00,04:30:00,06:30:00,06:44:00,40,14,on_time
101,2025-06-06,9483,AI,Air India,DEL,BLR,05:00:00,05:24:00,08:00:00,07:39:00,25,25,delayed
102,2025-06-06,2508,IX,Air India Express,DEL,BLR,05:00:00,05:24:00,08:00:00,07:39:00,25,25,delayed
103,2025-06-06,2409,AI,Air India,DEL,BLR,05:45:00,06:02:00,08:40:00,08:17:00,17,17,delayed
104,2025-06-06,2069,6E,IndiGo,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
105,2025-06-06,2803,AI,Air India,DEL,BLR,06:25:00,06:42:00,09:20:00,09:04:00,18,18,delayed
106,2025-06-06,1170,IX,Air India Express,DEL,BLR,06:30:00,06:45:00,09:30:00,09:07:00,16,16,delayed
107,2025-06-06,1089,ET,Ethiopian Airlines,DEL,BLR,06:25:00,06:42:00,09:20:00,09:04:00,18,18,delayed
108,2025-06-06,4953,SQ,Singapore Airlines,DEL,BLR,06:25:00,06:42:00,09:20:00,09:04:00,18,18,delayed
109,2025-06-06,9479,AI,Air India,DEL,BLR,06:30:00,06:45:00,09:30:00,09:07:00,16,16,delayed
110,2025-06-06,2103,6E,IndiGo,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
111,2025-06-06,2815,AI,Air India,DEL,BLR,07:30:00,07:41:00,10:10:00,09:56:00,12,12,on_time
112,2025-06-06,2651,AI,Air India,DEL,BLR,08:00:00,08:07:00,10:50:00,10:24:00,7,7,on_time
113,2025-06-06,2109,6E,IndiGo,DEL,BLR,08:00:00,08:14:00,10:55:00,10:33:00,15,15,on_time
114,2025-06-06,427,AI,Air India,DEL,BLR,08:30:00,09:03:00,11:20:00,11:16:00,34,34,delayed
115,2025-06-06,9178,AA,American Airlines,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
116,2025-06-06,3346,AF,Air France,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
117,2025-06-06,9050,JL,Japan Airlines,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
118,2025-06-06,5042,QF,Qantas,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
119,2025-06-06,8720,VS,Virgin Atlantic,DEL,BLR,05:45:00,05:42:00,08:30:00,07:59:00,0,0,on_time
120,2025-06-06,4443,LO,LOT - Polish Airlines,DEL,BLR,05:45:00,06:02:00,08:40:00,08:17:00,17,17,delayed
121,2025-06-06,1086,ET,Ethiopian Airlines,DEL,BLR,05:45:00,06:02:00,08:40:00,08:17:00,17,17,delayed
122,2025-06-06,2801,AI,Air India,DEL,BLR,09:00:00,09:17:00,11:50:00,11:38:00,17,17,delayed
123,2025-06-06,2408,6E,IndiGo,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
124,2025-06-06,2415,AI,Air India,DEL,BLR,09:40:00,10:33:00,12:35:00,12:51:00,53,16,delayed
125,2025-06-06,2127,6E,IndiGo,DEL,BLR,10:45:00,10:58:00,13:35:00,13:16:00,14,14,on_time
126,2025-06-06,2434,6E,IndiGo,DEL,BLR,11:30:00,11:47:00,14:25:00,14:06:00,18,18,delayed
127,2025-06-06,9179,AA,American Airlines,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
128,2025-06-06,9052,JL,Japan Airlines,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
129,2025-06-06,4774,KL,KLM,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
130,2025-06-06,5038,QF,Qantas,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
131,2025-06-06,8707,VS,Virgin Atlantic,DEL,BLR,07:00:00,07:06:00,09:55:00,09:23:00,7,7,on_time
132,2025-06-06,2417,AI,Air India,DEL,BLR,12:10:00,12:22:00,14:55:00,14:39:00,12,12,on_time
133,2025-06-06,5257,6E,IndiGo,DEL,BLR,13:00:00,13:19:00,15:55:00,15:38:00,19,19,delayed
134,2025-06-06,4835,SQ,Singapore Airlines,DEL,BLR,08:00:00,08:07:00,10:50:00,10:24:00,7,7,on_time
135,2025-06-06,9054,JL,Japan Airlines,DEL,BLR,08:00:00,08:14:00,10:55:00,10:33:00,15,15,on_time
136,2025-06-06,4205,QF,Qantas,DEL,BLR,08:00:00,08:14:00,10:55:00,10:33:00,15,15,on_time
137,2025-06-06,4716,TK,Turkish Airlines,DEL,BLR,08:00:00,08:14:00,10:55:00,10:33:00,15,15,on_time
138,2025-06-06,8698,VS,Virgin Atlantic,DEL,BLR,08:00:00,08:14:00,10:55:00,10:33:00,15,15,on_time
139,2025-06-06,2819,AI,Air India,DEL,BLR,14:10:00,14:35:00,17:00:00,17:00:00,25,25,delayed
140,2025-06-06,176,6E,IndiGo,DEL,BLR,14:15:00,14:24:00,17:10:00,16:42:00,10,10,on_time
141,2025-06-06,9062,JL,Japan Airlines,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
142,2025-06-06,4726,KL,KLM,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
143,2025-06-06,5040,QF,Qantas,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
144,2025-06-06,4717,TK,Turkish Airlines,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
145,2025-06-06,8710,VS,Virgin Atlantic,DEL,BLR,09:30:00,09:45:00,12:25:00,12:04:00,16,16,delayed
146,2025-06-06,4875,SQ,Singapore Airlines,DEL,BLR,09:40:00,10:33:00,12:35:00,12:51:00,53,16,delayed
147,2025-06-06,2664,AI,Air India,DEL,BLR,15:10:00,15:26:00,17:50:00,17:45:00,17,17,delayed
148,2025-06-06,6054,6E,IndiGo,DEL,BLR,15:30:00,15:41:00,18:20:00,18:04:00,12,12,on_time
149,2025-06-06,9056,JL,Japan Airlines,DEL,BLR,10:45:00,10:58:00,13:35:00,13:16:00,14,14,on_time
150,2025-06-06,4201,QF,Qantas,DEL,BLR,10:45:00,10:58:00,13:35:00,13:16:00,14,14,on_time
151,2025-06-06,8696,VS,Virgin Atlantic,DEL,BLR,10:45:00,10:58:00,13:35:00,13:16:00,14,14,on_time
152,2025-06-06,2817,AI,Air India,DEL,BLR,16:00:00,16:33:00,18:55:00,18:51:00,33,33,delayed
153,2025-06-06,9063,JL,Japan Airlines,DEL,BLR,11:30:00,11:47:00,14:25:00,14:06:00,18,18,delayed
154,2025-06-06,4739,KL,KLM,DEL,BLR,11:30:00,11:47:00,14:25:00,14:06:00,18,18,delayed
155,2025-06-06,5044,QF,Qantas,DEL,BLR,11:30:00,11:47:00,14:25:00,14:06:00,18,18,delayed
156,2025-06-06,8711,VS,Virgin Atlantic,DEL,BLR,11:30:00,11:47:00,14:25:00,14:06:00,18,18,delayed
157,2025-06-06,1088,ET,Ethiopian Airlines,DEL,BLR,12:10:00,12:22:00,14:55:00,14:39:00,12,12,on_time
158,2025-06-06,2141,6E,IndiGo,DEL,BLR,16:45:00,17:03:00,19:50:00,19:28:00,19,19,delayed
159,2025-06-06,2600,AI,Air India,DEL,BLR,17:00:00,17:20:00,19:50:00,19:37:00,20,20,delayed
160,2025-06-06,9066,JL,Japan Airlines,DEL,BLR,13:00:00,13:19:00,15:55:00,15:38:00,19,19,delayed
161,2025-06-06,5261,QF,Qantas,DEL,BLR,13:00:00,13:19:00,15:55:00,15:38:00,19,19,delayed
162,2025-06-06,8717,VS,Virgin Atlantic,DEL,BLR,13:00:00,13:19:00,15:55:00,15:38:00,19,19,delayed
163,2025-06-06,2813,AI,Air India,DEL,BLR,18:00:00,19:39:00,21:05:00,,100,51,delayed
164,2025-06-06,9060,JL,Japan Airlines,DEL,BLR,18:00:00,18:20:00,21:00:00,20:38:00,21,21,delayed
165,2025-06-06,4775,KL,KLM,DEL,BLR,18:00:00,18:20:00,21:00:00,20:38:00,21,21,delayed
166,2025-06-06,5263,QF,Qantas,DEL,BLR,18:00:00,18:20:00,21:00:00,20:38:00,21,21,delayed
167,2025-06-06,8723,VS,Virgin Atlantic,DEL,BLR,18:00:00,18:20:00,21:00:00,20:38:00,21,21,delayed
168,2025-06-06,2327,6E,IndiGo,DEL,BLR,18:00:00,18:20:00,21:00:00,20:38:00,21,21,delayed
169,2025-06-06,2487,6E,IndiGo,DEL,BLR,18:55:00,19:14:00,21:50:00,21:31:00,20,20,delayed
170,2025-06-06,2512,AI,Air India,DEL,BLR,19:25:00,20:05:00,22:15:00,22:25:00,40,10,on_time
171,2025-06-06,1076,ET,Ethiopian Airlines,DEL,BLR,14:10:00,14:35:00,17:00:00,17:00:00,25,25,delayed
172,2025-06-06,9207,JL,Japan Airlines,DEL,BLR,14:15:00,14:24:00,17:10:00,16:42:00,10,10,on_time
173,2025-06-06,4203,QF,Qantas,DEL,BLR,14:15:00,14:24:00,17:10:00,16:42:00,10,10,on_time
174,2025-06-06,8697,VS,Virgin Atlantic,DEL,BLR,14:15:00,14:24:00,17:10:00,16:42:00,10,10,on_time
175,2025-06-06,151,SG,SpiceJet,DEL,BLR,20:00:00,21:37:00,23:55:00,00:03:00,97,8,on_time
176,2025-06-06,2809,AI,Air India,DEL,BLR,20:00:00,20:11:00,23:00:00,22:39:00,11,11,on_time
177,2025-06-06,6515,6E,IndiGo,DEL,BLR,20:15:00,20:31:00,23:15:00,22:57:00,16,16,delayed
178,2025-06-06,2807,AI,Air India,DEL,BLR,20:30:00,20:57:00,23:25:00,23:21:00,28,28,delayed
179,2025-06-06,9209,JL,Japan Airlines,DEL,BLR,15:30:00,15:41:00,18:20:00,18:04:00,12,12,on_time
180,2025-06-06,4209,QF,Qantas,DEL,BLR,15:30:00,15:41:00,18:20:00,18:04:00,12,12,on_time
181,2025-06-06,8713,VS,Virgin Atlantic,DEL,BLR,15:30:00,15:41:00,18:20:00,18:04:00,12,12,on_time
182,2025-06-06,9058,JL,Japan Airlines,DEL,BLR,16:45:00,17:03:00,19:50:00,19:28:00,19,19,delayed
183,2025-06-06,3650,KL,KLM,DEL,BLR,16:45:00,17:03:00,19:50:00,19:28:00,19,19,delayed
184,2025-06-06,4207,QF,Qantas,DEL,BLR,16:45:00,17:03:00,19:50:00,19:28:00,19,19,delayed
185,2025-06-06,8701,VS,Virgin Atlantic,DEL,BLR,16:45:00,17:03:00,19:50:00,19:28:00,19,19,delayed
186,2025-06-06,9064,JL,Japan Airlines,DEL,BLR,18:55:00,19:14:00,21:50:00,21:31:00,20,20,delayed
187,2025-06-06,3646,KL,KLM,DEL,BLR,18:55:00,19:14:00,21:50:00,21:31:00,20,20,delayed
188,2025-06-06,5046,QF,Qantas,DEL,BLR,18:55:00,19:14:00,21:50:00,21:31:00,20,20,delayed
189,2025-06-06,8712,VS,Virgin Atlantic,DEL,BLR,18:55:00,19:14:00,21:50:00,21:31:00,20,20,delayed
190,2025-06-06,6893,NH,ANA,DEL,BLR,19:25:00,20:05:00,22:15:00,22:25:00,40,10,on_time
191,2025-06-06,3790,AF,Air France,DEL,BLR,20:15:00,20:31:00,23:15:00,22:57:00,16,16,delayed
192,2025-06-06,9070,JL,Japan Airlines,DEL,BLR,20:15:00,20:31:00,23:15:00,22:57:00,16,16,delayed
193,2025-06-06,4213,QF,Qantas,DEL,BLR,20:15:00,20:31:00,23:15:00,22:57:00,16,16,delayed
194,2025-06-06,8719,VS,Virgin Atlantic,DEL,BLR,20:15:00,20:31:00,23:15:00,22:57:00,16,16,delayed
195,2025-06-06,5525,LH,Lufthansa,DEL,BLR,21:35:00,21:47:00,00:30:00,00:14:00,12,12,on_time
196,2025-06-06,2412,AI,Air India,DEL,BLR,21:35:00,21:47:00,00:30:00,00:14:00,12,12,on_time
197,2025-06-06,2811,AI,Air India,BLR,BOM,00:10:00,00:12:00,02:00:00,01:41:00,3,3,on_time
198,2025-06-06,102,BZ,Blue Dart Aviation,BLR,BOM,00:25:00,01:03:00,02:05:00,02:21:00,39,16,delayed
199,2025-06-06,1139,ET,Ethiopian Airlines,BLR,BOM,00:10:00,00:12:00,02:00:00,01:41:00,3,3,on_time
200,2025-06-06,2858,AI,Air India,BLR,BOM,02:15:00,02:34:00,04:25:00,04:16:00,20,20,delayed
201,2025-06-06,1736,QP,Akasa Air,BLR,BOM,03:25:00,03:31:00,05:15:00,04:58:00,7,7,on_time
202,2025-06-06,5323,6E,IndiGo,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
203,2025-06-06,3365,AF,Air France,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
204,2025-06-06,8773,BA,British Airways,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
205,2025-06-06,9745,JL,Japan Airlines,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
206,2025-06-06,4706,KL,KLM,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
207,2025-06-06,5077,QF,Qantas,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
208,2025-06-06,8345,VS,Virgin Atlantic,BLR,BOM,03:30:00,03:30:00,05:20:00,04:55:00,0,0,on_time
209,2025-06-06,1194,QP,Akasa Air,BLR,BOM,04:05:00,04:28:00,05:45:00,05:44:00,23,23,delayed
210,2025-06-06,5193,JL,Japan Airlines,BLR,BOM,04:55:00,04:52:00,06:50:00,06:06:00,0,0,on_time
211,2025-06-06,5053,QF,Qantas,BLR,BOM,04:55:00,04:52:00,06:50:00,06:06:00,0,0,on_time
212,2025-06-06,8335,VS,Virgin Atlantic,BLR,BOM,04:55:00,04:52:00,06:50:00,06:06:00,0,0,on_time
213,2025-06-06,5205,6E,IndiGo,BLR,BOM,04:55:00,04:52:00,06:50:00,06:06:00,0,0,on_time
214,2025-06-06,1544,QP,Akasa Air,BLR,BOM,05:30:00,05:48:00,07:20:00,07:07:00,19,19,delayed
215,2025-06-06,2402,AI,Air India,BLR,BOM,06:40:00,06:50:00,08:45:00,08:11:00,11,11,on_time
216,2025-06-06,5192,JL,Japan Airlines,BLR,BOM,07:15:00,07:12:00,09:05:00,08:28:00,0,0,on_time
217,2025-06-06,5061,QF,Qantas,BLR,BOM,07:15:00,07:12:00,09:05:00,08:28:00,0,0,on_time
218,2025-06-06,8348,VS,Virgin Atlantic,BLR,BOM,07:15:00,07:12:00,09:05:00,08:28:00,0,0,on_time
219,2025-06-06,5089,6E,IndiGo,BLR,BOM,07:15:00,07:12:00,09:05:00,08:28:00,0,0,on_time
220,2025-06-06,308,D0,DHL Air,BLR,BOM,01:25:00,01:34:00,03:05:00,02:45:00,10,10,on_time
221,2025-06-06,2846,AI,Air India,BLR,BOM,08:25:00,08:48:00,10:30:00,10:06:00,24,24,delayed
222,2025-06-06,5520,LH,Lufthansa,BLR,BOM,06:40:00,06:50:00,08:45:00,08:11:00,11,11,on_time
223,2025-06-06,5216,6E,IndiGo,BLR,BOM,08:50:00,09:02:00,10:40:00,10:19:00,12,12,on_time
224,2025-06-06,2604,AI,Air India,BLR,BOM,09:10:00,09:17:00,11:10:00,10:36:00,7,7,on_time
225,2025-06-06,5051,6E,IndiGo,BLR,BOM,10:10:00,10:25:00,12:00:00,11:58:00,16,16,delayed
